CityName,StateName,Count,
Henderson,NE,1,
Crofton,NE,1,
Clay Center,NE,1,
Firth,NE,1,
Howells,NE,1,
Giltner,NE,1,
Trumbull,NE,1,
Allen,NE,1,
Blairsburg,IA,1,
Inwood,IA,1,
Murray,IA,1,
Maxwell,IA,1,
Alleman,IA,1,
Calmar,IA,1,
Underwood,IA,1,
Okoboji,IA,1,
Tabor,IA,1,
Walnut,IA,1,
Wellesley Hills,MA,1,
Concord,MA,1,
East Sandwich,MA,1,
North Dartmouth,MA,1,
Weston,MA,1,
Leicester,MA,1,
Walpole,MA,1,
Reading,MA,1,
Newton Center,MA,1,
South Dartmouth,MA,1,
North Attleboro,MA,1,
Arlington,MA,1,
Northfield,MA,1,
North Andover,MA,1,
Cohasset,MA,1,
Amherst,MA,1,
Southborough,MA,1,
Williamstown,MA,1,
Marblehead,MA,1,
Sudbury,MA,1,
Norwood,MA,1,
Roxbury,MA,1,
Dedham,MA,1,
Mashpee,MA,1,
South Hamilton,MA,1,
Nantucket,MA,1,
North Dighton,MA,1,
Westford,MA,1,
Bolton,MA,1,
Auburn,MA,1,
West Boylston,MA,1,
Lakeville,MA,1,
North Truro,MA,1,
North Chelmsford,MA,1,
Rutland,MA,1,
Little River,KS,1,
Riley,KS,1,
Hoyt,KS,1,
Agra,KS,1,
Howard,KS,1,
Downs,KS,1,
Quinter,KS,1,
Amherst,NH,1,
Wolfeboro,NH,1,
Tilton,NH,1,
North Conway,NH,1,
Londonderry,NH,1,
Weare,NH,1,
Arco,ID,1,
Rogerson,ID,1,
Richfield,ID,1,
Declo,ID,1,
BOISE,ID,1,
Midwest,WY,1,
Saint Marys,AK,1,
Elmendorf Afb,AK,1,
King City,ON,1,
Mississauga,ON,1,
Brantford,ON,1,
Brampton,ON,1,
Corvallis,MT,1,
Superior,MT,1,
North Scituate,RI,1,
Barrington,RI,1,
Wakefield,RI,1,
Cornish,ME,1,
Pittsfield,ME,1,
Brunswick,ME,1,
Kindred,ND,1,
Westhope,ND,1,
Anamoose,ND,1,
Saxtons River,VT,1,
Danville,VT,1,
